date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:01	27790/27790	---M-Z	200	added ('OK')	text/html	etag:%221cca7c880bcfc1252b56c62a336240d4%22	http://preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/11579020?_ga=1.261001866.623260549.1481697321	C:/xampp/htdocs/My%20Web%20Sites/dsa/preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/115790206e7b.html	(from )
13:45:02	1/1	---M--	200	added ('OK')	text/plain	date:Wed,%2014%20Dec%202016%2005:03:54%20GMT	http://preview.themeforest.net/robots.txt		(from )
13:45:03	1/1	---MC-	410	error ('Gone')	text/html	date:Wed,%2014%20Dec%202016%2007:45:01%20GMT	http://preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/&quot;http://themeforest.net/user/mannatstudio/follow&quot;&gt;&lt;img	C:/xampp/htdocs/My%20Web%20Sites/dsa/preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/&quot;http_/themeforest.net/user/mannatstudio/follow&quot;&gt;&lt;img	(from http://preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/11579020?_ga=1.261001866.623260549.1481697321)
13:45:03	1/1	---MC-	410	error ('Gone')	text/html	date:Wed,%2014%20Dec%202016%2007:45:02%20GMT	http://preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/&quot;http:...%22	C:/xampp/htdocs/My%20Web%20Sites/dsa/preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/&quot;http_..._	(from http://preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/11579020?_ga=1.261001866.623260549.1481697321)
13:45:04	161547/161547	---M-Z	200	added ('OK')	text/css	etag:%2265ffbfa67839191b2391206981e2fa5c%22	http://public-assets.envato-static.com/assets/market/core/index-abe7217969e760e830849028ce07f4aa.css	C:/xampp/htdocs/My%20Web%20Sites/dsa/public-assets.envato-static.com/assets/market/core/index-abe7217969e760e830849028ce07f4aa.css	(from http://preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/11579020?_ga=1.261001866.623260549.1481697321)
13:45:05	1919/1919	---M-Z	200	added ('OK')	text/css	etag:%22f617cc66c6817c00203b8a58989bfbf8%22	http://public-assets.envato-static.com/assets/market/pages/preview/index-06c3fde71ad80d7fee72aea2b868371b.css	C:/xampp/htdocs/My%20Web%20Sites/dsa/public-assets.envato-static.com/assets/market/pages/preview/index-06c3fde71ad80d7fee72aea2b868371b.css	(from http://preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/11579020?_ga=1.261001866.623260549.1481697321)
13:45:05	9251/9251	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Dec%202016%2005:03:54%20GMT	http://preview.themeforest.net/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/xampp/htdocs/My%20Web%20Sites/dsa/preview.themeforest.net/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from http://preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/11579020?_ga=1.261001866.623260549.1481697321)
13:45:06	6700/6700	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Dec%202016%2005:03:54%20GMT	http://preview.themeforest.net/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/xampp/htdocs/My%20Web%20Sites/dsa/preview.themeforest.net/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from http://preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/11579020?_ga=1.261001866.623260549.1481697321)
13:45:06	3056/3056	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Dec%202016%2005:03:54%20GMT	http://preview.themeforest.net/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/xampp/htdocs/My%20Web%20Sites/dsa/preview.themeforest.net/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from http://preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/11579020?_ga=1.261001866.623260549.1481697321)
13:45:07	9251/9251	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Dec%202016%2005:03:54%20GMT	http://preview.themeforest.net/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/xampp/htdocs/My%20Web%20Sites/dsa/preview.themeforest.net/icons/themeforest.net/apple-touch-icon-precomposed.png	(from http://preview.themeforest.net/item/ruaha-personal-blog-bootstrap-template/full_screen_preview/11579020?_ga=1.261001866.623260549.1481697321)
